Hz	Volts	dB	peakVolts	valleyVolts
2939.2822265625	26.635834302705216	52.7093260971597	55.75266371052522	0.0
2950.048828125	35.81484441705394	55.281261381064866	59.384085269275985	0.0
2960.8154296875	24.699878459988952	52.05389633199937	63.90018635531644	0.0
2971.58203125	30.703285495160845	53.94369702299278	56.30864152526594	0.0
2982.3486328125	32.36692419318832	54.402028617223834	59.196283636358245	0.0
2993.115234375	23.51384285505966	51.62647223677089	64.91557761551212	0.0
3003.8818359375	28.068407342190408	53.164355417359374	64.51852512232902	0.0
3014.6484375	28.41923824737803	53.27224866271365	61.390664598524594	0.0
3025.4150390625	27.635556205640217	53.02936420192516	58.35549707737846	0.0
3036.181640625	30.993653408603304	54.02545544778272	53.867061067052155	0.0
3046.9482421875	23.975158744340757	51.79522983561949	58.09288968611818	0.0
3057.71484375	19.179324816412887	49.85666629825168	58.88420203465044	0.0
3068.4814453125	24.467687968611816	51.97185867511331	68.36947584849904	0.0
3079.248046875	34.95819944488137	55.07098111936277	70.11324583534893	0.0
3090.0146484375	28.857560010287074	53.405192154455975	64.26863771316948	0.0
3100.78125	18.982674880627755	49.76714820342991	60.23837842706068	0.0
3111.5478515625	23.33138091475775	51.55880889093508	65.44498459189403	0.0
3122.314453125	20.233341432171812	50.32135221443872	57.32603374060054	0.0
3133.0810546875	17.973840496319614	49.29281768044706	75.04836620043547	0.0
3143.84765625	24.337733860947715	51.92560276088807	70.55117011573631	0.0
3154.6142578125	32.089108526039354	54.3271530450372	56.75032339042777	0.0
3165.380859375	25.19464604117609	52.22616523373259	63.48115789898658	0.0
3176.1474609375	30.051022538526993	53.75718508917788	59.335051437442026	0.0
3186.9140625	25.446094314501664	52.31242265738999	62.577368903276295	0.0
3197.6806640625	18.22545565148455	49.41356791002349	67.81280851151077	0.0
3208.447265625	22.745233871540638	51.3378081424175	65.84700301241107	0.0
3219.2138671875	19.928333022997407	50.189419452891244	70.30317100149598	0.0
3229.98046875	34.57925121548268	54.976311698813	73.36541726749432	0.0
3240.7470703125	37.99413759770753	55.7943318272512	63.19079898372877	0.0
3251.513671875	26.858033445779803	52.78148421220326	67.22140036699025	0.0
3262.2802734375	23.942984896286173	51.78356583890716	64.78470112580813	0.0
3273.046875	20.863676982188643	50.587817014461635	57.97225412030316	0.0
3283.8134765625	25.451660504926092	52.3143224392574	59.11141686930548	0.0
3294.580078125	28.77430851251139	53.38009791952937	68.514009043393	0.0
3305.3466796875	24.667258157718464	52.042417587001566	61.50968647743256	0.0
3316.11328125	20.55970455642971	50.46033740114156	69.45018016851967	0.0
3326.8798828125	14.699709568828988	47.54617510431254	62.96826145610869	0.0
3337.646484375	24.54824865525494	52.000410281405095	55.77215817008749	0.0
3348.4130859375	25.93815792419889	52.4787826089088	57.163996783388406	0.0
3359.1796875	23.017437669841666	51.44113952371154	60.08172381121496	0.0
3369.9462890625	21.971118288676376	51.037043254135426	73.33136573715323	0.0
